001-create-store-rg.up=Sun Jul  3 09:18:17 SAST 2022
002-create-compute-rg.up=Sun Jul  3 09:18:20 SAST 2022
003-create-cosmos-db.up=Sun Jul  3 09:21:51 SAST 2022
004-create-CLIRole.up=Sun Jul  3 09:24:24 SAST 2022
005-role-assignment-to-me.up=Sun Jul  3 09:25:04 SAST 2022
006-populate-cosmos-content.up=Sun Jul  3 09:34:53 SAST 2022
007-create-app-insights.up=Sun Jul  3 09:35:24 SAST 2022
008-create-storage-account.up=Sun Jul  3 09:35:59 SAST 2022
009-create-app-service-plan.up=Sun Jul  3 09:36:13 SAST 2022
010-create-function-app.up=Sun Jul  3 09:37:39 SAST 2022
011-assign-role-to-managed-identity.up=Sun Jul  3 09:42:44 SAST 2022
